Year/Month/Date,Hour,Discharge
09/01/2017,22,4.15
09/01/2017,23,4.15
10/01/2017,0,4.15
10/01/2017,1,4.15
10/01/2017,2,4.15
10/01/2017,3,4.15
10/01/2017,4,4.15
10/01/2017,5,4.15
10/01/2017,6,4.15
10/01/2017,7,4.15
10/01/2017,8,4.15
10/01/2017,9,4.15
10/01/2017,10,4.15
10/01/2017,11,4.15
10/01/2017,12,4.15
10/01/2017,13,4.15
10/01/2017,14,4.15
10/01/2017,15,4.15
10/01/2017,16,4.15
10/01/2017,17,4.15
10/01/2017,18,4.15
10/01/2017,19,4.15
10/01/2017,20,4.15
10/01/2017,21,4.15
10/01/2017,22,4.15
10/01/2017,23,4.15
11/01/2017,0,4.15
11/01/2017,1,4.15
11/01/2017,2,4.15
11/01/2017,3,4.15
11/01/2017,4,4.15
11/01/2017,5,4.15
11/01/2017,6,4.15
11/01/2017,7,4.15
11/01/2017,8,4.15
11/01/2017,9,4.15
11/01/2017,10,4.15
11/01/2017,11,4.15
11/01/2017,12,4.15
11/01/2017,13,4.15
11/01/2017,14,4.15
11/01/2017,15,4.15
11/01/2017,16,4.15
11/01/2017,17,4.15
11/01/2017,18,4.15
11/01/2017,19,4.15
11/01/2017,20,4.15
11/01/2017,21,4.15
11/01/2017,22,4.15
11/01/2017,23,4.15
12/01/2017,0,4.15
12/01/2017,1,4.15
12/01/2017,2,4.15
12/01/2017,3,4.15
12/01/2017,4,4.15
12/01/2017,5,4.15
12/01/2017,6,4.15
12/01/2017,7,4.15
12/01/2017,8,4.15
12/01/2017,9,4.15
12/01/2017,10,4.15
12/01/2017,11,4.15
12/01/2017,12,4.15
12/01/2017,13,4.15
12/01/2017,14,4.15
12/01/2017,15,4.15
12/01/2017,16,4.15
12/01/2017,17,4.15
12/01/2017,18,4.15
12/01/2017,19,4.15
12/01/2017,20,4.15
12/01/2017,21,4.15
12/01/2017,22,4.15
12/01/2017,23,4.15
13/01/2017,0,4.15
13/01/2017,1,4.15
13/01/2017,2,4.15
13/01/2017,3,4.15
13/01/2017,4,4.15
13/01/2017,5,4.15
13/01/2017,6,4.15
13/01/2017,7,4.15
13/01/2017,8,4.15
13/01/2017,9,4.15
13/01/2017,10,4.15
13/01/2017,11,4.15
13/01/2017,12,4.15
13/01/2017,13,4.15
13/01/2017,14,4.15
13/01/2017,15,4.15
13/01/2017,16,4.15
13/01/2017,17,4.15
13/01/2017,18,4.15
13/01/2017,19,4.15
13/01/2017,20,4.15
13/01/2017,21,4.15
13/01/2017,22,4.15
13/01/2017,23,4.15
14/01/2017,0,4.15
14/01/2017,1,4.15
14/01/2017,2,4.15
14/01/2017,3,4.15
14/01/2017,4,4.15
14/01/2017,5,4.15
14/01/2017,6,4.15
14/01/2017,7,4.15
14/01/2017,8,4.15
14/01/2017,9,4.15
14/01/2017,10,4.15
14/01/2017,11,4.15
14/01/2017,12,4.15
14/01/2017,13,4.15
14/01/2017,14,4.15
14/01/2017,15,4.15
14/01/2017,16,4.15
14/01/2017,17,4.15
14/01/2017,18,4.15
14/01/2017,19,4.15
14/01/2017,20,4.15
14/01/2017,21,4.15
14/01/2017,22,3.84
14/01/2017,23,4.15
15/01/2017,0,4.15
15/01/2017,1,4.15
15/01/2017,2,4.15
15/01/2017,3,4.15
15/01/2017,4,4.15
15/01/2017,5,3.84
15/01/2017,6,4.15
15/01/2017,7,4.15
15/01/2017,8,4.15
15/01/2017,9,4.15
15/01/2017,10,3.84
15/01/2017,11,3.84
15/01/2017,12,4.15
15/01/2017,13,4.15
15/01/2017,14,4.15
15/01/2017,15,3.84
15/01/2017,16,4.15
15/01/2017,17,3.84
15/01/2017,18,3.84
15/01/2017,19,3.84
15/01/2017,20,3.84
15/01/2017,21,3.84
15/01/2017,22,4.15
15/01/2017,23,3.84
16/01/2017,0,4.15
16/01/2017,1,3.84
16/01/2017,2,4.15
16/01/2017,3,4.15
16/01/2017,4,3.84
16/01/2017,5,4.15
16/01/2017,6,3.84
16/01/2017,7,3.84
16/01/2017,8,3.84
16/01/2017,9,3.84
16/01/2017,10,3.84
16/01/2017,11,3.84
16/01/2017,12,3.84
16/01/2017,13,4.15
16/01/2017,14,3.84
16/01/2017,15,3.84
16/01/2017,16,3.84
16/01/2017,17,3.84
16/01/2017,18,3.84
16/01/2017,19,3.84
16/01/2017,20,3.84
16/01/2017,21,3.84
16/01/2017,22,3.84
16/01/2017,23,3.84
17/01/2017,0,3.84
17/01/2017,1,3.84
17/01/2017,2,3.84
17/01/2017,3,3.84
17/01/2017,4,3.84
17/01/2017,5,3.84
17/01/2017,6,3.84
17/01/2017,7,3.84
17/01/2017,8,3.84
17/01/2017,9,3.84
17/01/2017,10,3.84
17/01/2017,11,3.84
17/01/2017,12,3.84
17/01/2017,13,3.84
17/01/2017,14,3.84
17/01/2017,15,3.84
17/01/2017,16,3.84
17/01/2017,17,3.84
17/01/2017,18,3.84
17/01/2017,19,3.84
17/01/2017,20,3.84
17/01/2017,21,3.84
17/01/2017,22,3.84
17/01/2017,23,3.84
18/01/2017,0,3.84
18/01/2017,1,3.84
18/01/2017,2,3.84
18/01/2017,3,3.84
18/01/2017,4,3.84
18/01/2017,5,3.84
18/01/2017,6,3.84
18/01/2017,7,3.84
18/01/2017,8,3.84
18/01/2017,9,3.84
18/01/2017,10,3.84
18/01/2017,11,3.84
18/01/2017,12,3.84
18/01/2017,13,3.84
18/01/2017,14,3.84
18/01/2017,15,3.84
18/01/2017,16,3.84
18/01/2017,17,3.84
18/01/2017,18,3.84
18/01/2017,19,3.84
18/01/2017,20,3.84
18/01/2017,21,3.84
18/01/2017,22,3.84
18/01/2017,23,3.84
19/01/2017,0,3.84
19/01/2017,1,3.84
19/01/2017,2,3.84
19/01/2017,3,3.84
19/01/2017,4,3.84
19/01/2017,5,3.84
19/01/2017,6,3.84
19/01/2017,7,3.84
19/01/2017,8,3.84
19/01/2017,9,3.84
19/01/2017,10,3.84
19/01/2017,11,3.84
19/01/2017,12,3.84
19/01/2017,13,3.84
19/01/2017,14,3.84
19/01/2017,15,3.84
19/01/2017,16,3.84
19/01/2017,17,3.84
19/01/2017,18,3.84
19/01/2017,19,3.84
19/01/2017,20,3.84
19/01/2017,21,3.84
19/01/2017,22,3.84
19/01/2017,23,3.84
20/01/2017,0,3.84
20/01/2017,1,3.84
20/01/2017,2,3.84
20/01/2017,3,3.84
20/01/2017,4,3.84
20/01/2017,5,3.84
